in a prosy manner; "somewhat prosily and repetitively expounded"	Philosophy and psychology
of a color intermediate between red and blue	Heraldry, honors, and vexillology
a crucial moment on which much depends	Mathematics
a town in western Tennessee	Geography and places
discolored by coagulation of blood beneath the skin; "beaten black and blue"; "livid bruises"	Health and medicine
quality of being international in scope; "he applauded the internationality of scientific terminology"	Music
be the source of pain	Health and medicine
conducive to or characteristic of physical or moral well-being; "wholesome attitude"; "wholesome appearance"; "wholesome food"	Philosophy and psychology
(American football) the position of a back on a football team	Sport and recreation
Canada jays	Animals
exceeding in heaviness; having greater weight; "the least preponderance in either pan will unbalance the scale"	Physics and astronomy
in a grudging manner; "he grudgingly agreed to have a drink in a hotel close by"	Philosophy and psychology
in a bad mood; "he answered her cantankerously"	Philosophy and psychology
change the order of soldiers during a march	Warfare and defense
an impression that something might be the case; "he had an intuition that something had gone wrong"	Philosophy and psychology
causing to decrease in importance or value; "detractive influences on the volume of investment"	Mathematics
in disappointment; in a disappointed manner; "she left the gambling table disappointedly"	Philosophy and psychology
of or relating to or including several cultures; "a multicultural event"	Philosophy and psychology
a fat sausage-shaped curl	Textile and clothing
coarse curly-leafed cabbage	Food and drink
the Siouan language spoken by the Santee	Language and linguistics
offensively malodorous; "a foul odor"; "the kitchen smelled really funky"	Philosophy and psychology
being characteristic of a girl	Philosophy and psychology
formally made public; "published accounts"	Philosophy and psychology
bagel flavored with onion	Food and drink
a variety of mandarin orange	Food and drink
a showy misrepresentation intended to conceal something unpleasant	Philosophy and psychology
coextensive with the family Oleaceae; in some classifications included in the order Gentianales	Biology
unconventional in especially appearance and behavior; "a bohemian life style"	Philosophy and psychology
edelweiss	Biology
suffering shame	Philosophy and psychology
a genus of Xenicidae	Animals
of western North America	Animals
change the form of a word in accordance as required by the grammatical rules of the language	Language and linguistics
in an inhumane manner; "the prisoners of war were treated inhumanely"	Philosophy and psychology
a variety of aster	Biology
(of the side of cloth or clothing) facing or intended to face outward; "the right side of the cloth showed the pattern"; "be sure your shirt is right side out"	Textile and clothing
United States writer (born in 1942)	Literature and theatre
a blank leaf inserted between the leaves of a book	Literature and theatre
a detachable yoke of linen or lace worn over the breast of a low-cut dress	Textile and clothing
of or relating to phonemes of a particular language; "phonemic analysis"	Language and linguistics
an adherent of Hinayana Buddhism	Religion, mysticism and mythology
a tree with limbs cut back to promote a more bushy growth of foliage	Biology
a feeling of profound love and admiration	Religion, mysticism and mythology
in a corrupt manner	Philosophy and psychology
a substance believed to cure all ills	Health and medicine
of or relating to cacodyl	Chemistry and mineralogy
the section of a band or orchestra that plays brass instruments	Music
an independent variable in statistics	Mathematics
a disposition not to be congenial	Philosophy and psychology
Australasian kingfishers	Animals
having cells that lack membrane-bound nuclei	Biology
Spanish film director (1900-1983)	Media
the fruit of the wild cherry tree	Biology
the act of binding something into a bundle	Farming
of or relating to the fourth power	Mathematics
leather that has had its grain pattern accentuated	Textile and clothing
on or relating to the same side (of the body)	Physics and astronomy
(of hair or clothing) worn loose; "her flyaway hair"; "a flyaway coat"	Textile and clothing
without or seeming to be without plan or method; offhand; "a casual remark"; "information collected by casual methods and in their spare time"	Philosophy and psychology
become empty of water; "The river runs dry in the summer"	Chemistry and mineralogy
the craft of upholstering	Textile and clothing
several exercises intended to be done in series; "he did four sets of the incline bench press"	Health and medicine
involving invasion or aggressive attack; "invasive war"	Warfare and defense
overcome with amazement; "This boggles the mind!"	Philosophy and psychology
sclerosis of the arterioles	Health and medicine
the location (metaphorically speaking) where something is based; "the brain is said to be the seat of reason"	Physics and astronomy
curl tightly; "crimp hair"	Textile and clothing
not fully developed in mature animals; "rudimentary wings"	Biology
persuasive but insincere talk that is usually intended to deceive or impress; "`let me show you my etchings' is a rather worn line"; "he has a smooth line but I didn't fall for it"; "that salesman must have practiced his fast line of talk"	Philosophy and psychology
free from undue bias or preconceived opinions; "an unprejudiced appraisal of the pros and cons"; "the impartial eye of a scientist"	Philosophy and psychology
cause to be acquitted; get off the hook; in a legal case; "The lawyer got him off, even though there was no doubt in everybody's mind that he killed his wife"	Law and crime
a town and port in northwestern Israel in the eastern Mediterranean	Geography and places
bombard with heavy shells	Warfare and defense
receiving deferential regard; "a respected family"	Philosophy and psychology
a city in northeast Ohio	Geography and places
occupy, usually uninvited; "My son's friends crashed our house last weekend"	Law and crime
an impression in a surface (as made by a blow)	Health and medicine
of the most contemptible kind; "abject cowardice"; "a low stunt to pull"; "a low-down sneak"; "his miserable treatment of his family"; "You miserable skunk!"; "a scummy rabble"; "a scurvy trick"	Philosophy and psychology
any tax in which the rate decreases as the amount subject to taxation increases	Business, economics, and finance
blow hard; "It was storming all night"	Meteorology
relating to or consistent with or typical of the ideology and practice of Nazism or the Nazis; "the total Nazi crime"; "the Nazi interpretation of history"	Philosophy and psychology
the craft of making dresses	Textile and clothing
dissolution or destruction of bacteria	Biology
hit a foul ball	Sport and recreation
a violent disturbance; "the convulsions of the stock market"	Music
processes for chemical reactions at high temperatures	Chemistry and mineralogy
cover with a new surface	Textile and clothing
the focus of cognitions or feelings; "objects of thought"; "the object of my affection"	Philosophy and psychology
likely to spread and cause an epidemic disease; "a pestilential malignancy in the air"- Jonathan Swift; "plaguey fevers"	Health and medicine
befitting a woman of good breeding; "ladylike manners"	Philosophy and psychology
a low-cut shoe without fastenings	Textile and clothing
located or occurring within or closer to a center; "an inner room"	Mathematics
absolutely still; "frozen with horror"; "they stood rooted in astonishment"	Physics and astronomy
a device used in photography to synchronize the peak of a flash with the opening of the camera shutter	Engineering and technology
one who advocates clericalism	Religion, mysticism and mythology
lacking interest or stimulation; dull and lifeless; "a dry book"; "a dry lecture filled with trivial details"; "dull and juiceless as only book knowledge can be when it is unrelated to...life"- John Mason Brown	Philosophy and psychology
an item that is incidental	Mathematics
characterized by certainty or security; "a tiny but assured income"; "we can never have completely assured lives"	Philosophy and psychology
the ordinal number of ninety in counting order	Mathematics
a coenzyme of several enzymes	Chemistry and mineralogy
a digit from 0 to 7 in octal notation	Mathematics
showing lack of careful thought; "the debate turned into thoughtless bickering"	Philosophy and psychology
a no-nonsense attitude in business or politics; "they play hardball in the Senate"	Philosophy and psychology
the excessive sweetness of saccharin	Food and drink
belonging to the same genus	Animals
lacking interest or spirit or animation; "decrepit, colorless uneager things"	Philosophy and psychology
by means of the fingers; "the exam was carried out digitally"	Animals
deeply absorbed in thought; "as distant and bemused as a professor listening to the prattling of his freshman class"; "lost in thought"; "a preoccupied frown"	Philosophy and psychology
requiring full use of your abilities or resources; "ambitious schedule"; "performed the most challenging task without a mistake"	Philosophy and psychology
dress by covering or binding; "The nurse bandaged a sprained ankle"; "bandage an incision"	Health and medicine
a singer; usually a singer who adds embellishments to the song	Music
the times at the beginning and end of the working day when many people are traveling to or from work	Physics and astronomy
a location other than here; that place; "you can take it from there"	Physics and astronomy
by the theory of relativity; "this is relativistically impossible"	Physics and astronomy
not offensive to sexual mores in conduct or appearance	Philosophy and psychology
a genus of Erethizontidae	Animals
showing a high degree of refinement and the assurance that comes from wide social experience; "his polished manner"; "maintained an urbane tone in his letters"	Philosophy and psychology
of or belonging to or suitable for a duke; "ducal palace"	Royalty and nobility
in a cheerless manner; "in August 1914 , there was a dismally sentimental little dinner, when the French, German, Austrian and Belgian members of the committee drank together to the peace of the future"	Philosophy and psychology
in a glowering manner; "he stared gloweringly at this morning's headlines"	Philosophy and psychology
make sensitive to a drug or allergen; "Long-term exposure to this medicine may sensitize you to the allergen"	Health and medicine
the quality of lacking strength or power; being weak and feeble	Philosophy and psychology
a holly shrub	Biology
transport by ferry	Warfare and defense
a strike in which the workers walk out	Numismatics and currencies
the bivalent radical UO2 which forms salts with acids	Chemistry and mineralogy
cloth covering that forms the part of a garment below the waist	Textile and clothing
the organic phenomenon of rotting	Biology
that can be given a date; "a concrete and datable happening"- C.W.Shumaker	Physics and astronomy
overlap; "The roof tiles imbricate"	Textile and clothing
invest with or as with a body; give body to	Physics and astronomy
the Shoshonean language spoken by the Comanche	Language and linguistics
having feelings of aversion or unwillingness; "afraid of hard work"; "afraid to show emotion"	Philosophy and psychology
relating to or characteristic of the times of the Roman Emperor Augustus; "the Augustan Age"	Royalty and nobility
oystercatchers	Animals
a soft-finned fish of the genus Alepisaurus	Animals
frogbit	Biology
wish ill or allow unwillingly	Philosophy and psychology
have a wish or desire to know something; "He wondered who had built this beautiful church"	Philosophy and psychology
giving a Christian name at baptism	Religion, mysticism and mythology
form the contours of	Mathematics
having no importance or influence; "a lightweight intellect"	Business, economics, and finance
dislocation of a joint	Health and medicine
of brown tinged with black	Heraldry, honors, and vexillology
an ordinary man; "a lucky stiff"; "a working stiff"	Animals
a type of armed combat in which the opposing troops fight from trenches that face each other; "instead of the war ending quickly, it became bogged down in trench warfare"	Warfare and defense
ride a snowmobile	Transport and travel
engage in an aerial battle with another fighter plane	Warfare and defense
a class of nouns or pronouns or adjectives in Indo-European languages having the same (or very similar) inflectional forms; "the first declension in Latin"	Language and linguistics
formulate in regular order; to reduce to a scheme or formula; "The chemists schematized the various reactions in a coherent fashion"	Philosophy and psychology
blow gently and lightly; "It breezes most evenings at the shore"	Meteorology
savory	Biology
plate with silver; "silverplate a watch"	Chemistry and mineralogy
decide by pondering, reasoning, or reflecting; "Can you think what to do next?"	Philosophy and psychology
a large magnitude; "he blanched when he saw the size of the bill"; "the only city of any size in that area"	Mathematics
the part played by a person in bringing about a result; "I am proud of my contribution in advancing the project"; "they all did their share of the work"	Sport and recreation
come down with a cold	Health and medicine
wooden ball that is struck with mallets in playing polo	Sport and recreation
the process of becoming mellow	Biology
any barrier to communication or vision; "a curtain of secrecy"; "a curtain of trees"	Health and medicine
South American opossum	Animals
a fabric with very thin stripes	Textile and clothing
a steel alloy made with chromium and tungsten	Chemistry and mineralogy
at a slow tempo; "the band played a slow waltz"	Music
an artificial language	Language and linguistics
United States physicist who invented the iconoscope (1889-1982)	Physics and astronomy
the merging of adjacent sounds or syllables or words	Language and linguistics
in a ruggedly tough manner; "toughly vigorous story-telling"	Philosophy and psychology
of or relating to the power (the shattering effect) of an explosive	Chemistry and mineralogy
having or characterized by words of more than three syllables	Language and linguistics
the act of satisfying your own desires and giving yourself pleasure	Philosophy and psychology
yielding an acid in aqueous solution	Chemistry and mineralogy
the quality of being relative and having significance only in relation to something else	Philosophy and psychology
the limits within which something can be effective; "range of motion"; "he was beyond the reach of their fire"	Mathematics
replace (tissue or a body part) through the formation of new tissue; "The snake regenerated its tail"	Biology
of or relating to the people who run the federal government; "Washingtonian politics as usual"	Law and crime
cardamom	Biology
of or relating to the cervix of the uterus; "cervical cancer"	Health and medicine
the amount of money paid out per unit time	Business, economics, and finance
a rectangular drawing; "the flowchart contained many boxes"	Mathematics
serving as an introduction or preface	Literature and theatre
monetary unit in the United Arab Emirates	Numismatics and currencies
any salt of hydrochloric acid (containing the chloride ion)	Chemistry and mineralogy
place in glycerol	Chemistry and mineralogy
make an inversion (in a musical composition); "here the theme is inverted"	Music
without compassionate feelings; "unfeelingly, she required her maid to work on Christmas Day"	Philosophy and psychology
tailorbirds	Animals
a town in southwest Texas on the Rio Grande to the west of San Antonio	Geography and places
relating to or existing in the mind or thoughts; "a concern with inward reflections"	Philosophy and psychology
aim and shoot with great precision	Warfare and defense
at or to great height; high up in or into the air; "eagles were soaring aloft"; "dust is whirled aloft"	Physics and astronomy
coming next after the sixteenth in position	Warfare and defense
of or relating to statistical methods based on Bayes' theorem	Mathematics
a genus of Cariamidae	Animals
a feeling of sympathetic understanding	Philosophy and psychology
dill	Biology
tag the base runner to get him out	Sport and recreation
a ribbed woven fabric of silk or rayon or cotton	Textile and clothing
any star around which a planetary system revolves	Physics and astronomy
suggest fear or doubt; "Her heart misgave her that she had acted inexcusably"	Philosophy and psychology
the quality of being incomprehensible	Philosophy and psychology
a regulator that activates or deactivates a mechanism at set times	Engineering and technology
a shell fired by the cannon on a tank	Warfare and defense
in the living organism; "studies conducted in vivo"	Biology
quick to understand; "a kind and apprehensive friend"- Nathaniel Hawthorne	Philosophy and psychology
American purple gallinules	Animals
change the order or arrangement of; "Dyslexics often transpose letters in a word"	Mathematics
having much knowledge or education; "an informed public"; "informed opinion"; "the informed customer"	Philosophy and psychology
a non-market economy in which government intervention is important in allocating goods and resources and determining prices	Business, economics, and finance
turn away from sin or do penitence	Religion, mysticism and mythology
opera in which all the text is sung	Music
annoying and unpleasant; "some creepy kids were bothering her"	Philosophy and psychology
in an appealing but bold manner; "she asked him impishly to come in"	Philosophy and psychology
coffee-flavored liqueur	Food and drink
the property of something that is great in magnitude; "it is cheaper to buy it in bulk"; "he received a mass of correspondence"; "the volume of exports"	Mathematics
antihistamine used to treat allergic responses (as rhinitis or dermatitis or pruritus)	Health and medicine
show anger or indignation; "She bristled at his insolent remarks"	Philosophy and psychology
moles	Animals
of or relating to or befitting cenobites or their practices of communal living	Philosophy and psychology
make by sewing together quickly; "run up a skirt"	Textile and clothing
a sudden recurrence or worsening of symptoms; "a colitis flare"; "infection can cause a lupus flare"	Health and medicine
be ecstatic with joy	Philosophy and psychology
operate or control a vehicle; "drive a car or bus"; "Can you drive this four-wheel truck?"	Transport and travel
convert to caramel	Food and drink
find enjoyable or agreeable; "I like jogging"; "She likes to read Russian novels"	Philosophy and psychology
abused or oppressed by people in power	Philosophy and psychology
spore of a rust fungus formed in an aecium	Biology
recklessly determined; "hell-bent on winning"	Philosophy and psychology
showing unselfish concern for the welfare of others	Philosophy and psychology
a performer on the cymbals	Music
showing no emotion; "the convicted killer listened unblinkingly to the reading of his sentence"	Philosophy and psychology
in a chaste and virtuous manner; "she lived chastely"	Philosophy and psychology
steal in a store	Law and crime
show respect towards; "honor your parents!"	Philosophy and psychology
scatter manure or fertilizer over (land)	Farming
contemplation of things past; "in retrospect"	Philosophy and psychology
irresponsible in the use of firearms	Philosophy and psychology
mark with a signpost, as of a path	Transport and travel
in a yearning manner; "he spent the rest of the act gazing longingly over my right shoulder at the illuminated word `Exit'"	Philosophy and psychology
get up on the back of; "mount a horse"	Animals
the Dravidian language spoken by the Kui in southeastern India	Language and linguistics
heap obscenities upon; "The taxi driver who felt he didn't get a high enough tip cursed the passenger"	Language and linguistics
suitable to your needs; "a congenial atmosphere to work in"; "two congenial spirits united...by mutual confidence and reciprocal virtues"- T.L.Peacock	Philosophy and psychology
estimate the value of	Mathematics
in a diffident manner; "`Oh, well,' he shrugged diffidently, `I like the work.'"	Philosophy and psychology
a member of a conference	Literature and theatre
availability for use; "the materials at the command of the potters grew"	Computing
having or characterized by or consisting of two syllables	Language and linguistics
full of or expressing deep emotion; "soulful eyes"; "soulful music"	Philosophy and psychology
the number 1 and any other number obtained by adding 1 to it repeatedly	Mathematics
United States satirical novelist and literary critic (1912-1989)	Literature and theatre
having a panicle	Biology
not interchangeable	Mathematics
violent agitation	Philosophy and psychology
of or relating to the vagus nerve	Health and medicine
a debt instrument with a variable interest rate tied to some other interest rate (e.g. the rate paid by T-bills)	Business, economics, and finance
branches of the internal iliac artery that supply the hip joint and gluteal region	Health and medicine
relating to or of the nature of a legal trust (i.e. the holding of something in trust for another); "a fiduciary contract"; "in a fiduciary capacity"; "fiducial power"	Law and crime
an unskilled painter	Art, architecture, and archaeology
showing fear and lack of confidence	Philosophy and psychology
the quality of being physically deep; "the profundity of the mine was almost a mile"	Warfare and defense
remove offensive capability from	Warfare and defense
in a cozy manner; "nestled cozily by the fire"	Philosophy and psychology
to give a (more) feminine, effeminate, or womanly quality or appearance to; "This hairdo feminizes the man"	Philosophy and psychology
a league of teams that do not belong to a major league (especially baseball)	Sport and recreation
an Anatolian language	Language and linguistics
the act or process of determining the time	Philosophy and psychology
the activity of collecting bottles; "bottle collection is a hobby of hers"	Numismatics and currencies
Indian antelopes: nilgais	Animals
conclude by reasoning; in logic	Philosophy and psychology
touch or seem as if touching visually or audibly; "Light fell on her face"; "The sun shone on the fields"; "The light struck the golden necklace"; "A strange sound struck my ears"	Philosophy and psychology
of or relating to or belonging to the plant family Compositae	Biology
adhering or confined to a particular sect or denomination; "denominational prejudice"	Religion, mysticism and mythology
take without permission; "he walked off with my wife!"; "The thief walked off with my gold watch"	Law and crime
lacking in variety and interest; "a colorless and unimaginative person"; "a colorless description of the parade"	Philosophy and psychology
proceed along in a vehicle; "We drive the turnpike to work"	Transport and travel
have in mind as a purpose; "I mean no harm"; "I only meant to help you"; "She didn't think to harm me"; "We thought to return early that night"	Philosophy and psychology
the capital of the state of Maine	Geography and places
a girl of impish appeal	Philosophy and psychology
characteristic of the style of type commonly used for printing German	Language and linguistics
the ultimate goal; "human beings are not the end-all of evolution"	Philosophy and psychology
tomato and cheese pizza with anchovies	Food and drink
the uppermost watertight deck	Warfare and defense
having an additive or multiplicative inverse	Mathematics
a very light white	Heraldry, honors, and vexillology
an interval that is included in another interval	Mathematics
a concealed lighting fixture	Engineering and technology
of or relating to the city of Tunis or its residents; "Tunisian markets"	Geography and places
of or pertaining to or involving the heart and blood vessels; "cardiovascular conditioning"	Health and medicine
show consideration for; take into account; "You must consider her age"; "The judge considered the offender's youth and was lenient"	Philosophy and psychology
being or characterized by concepts or their formation; "conceptual discussions"; "the schizophrenic loses ability to abstract or do conceptual thinking"; "sex is a notional category, gender is a grammatical category"	Philosophy and psychology
a United States bill worth 50 dollars	Numismatics and currencies
the ability of a customer to obtain goods or services before payment, based on the trust that payment will be made in the future	Business, economics, and finance
the optimistic feeling that all is going to turn out well	Philosophy and psychology
the section of an orchestra that plays violins	Music
that part of the continental divide formed by the Rocky Mountains in the United States	Geography and places
look with disfavor on; "The republic soon discountenanced its few friends"	Philosophy and psychology
a member of the Dravidian people living in southern India	Language and linguistics
medium-sized breed with a wiry brown coat; developed in Ireland	Animals
swelling of a lymph node	Health and medicine
pursue or chase relentlessly; "The hunters traced the deer into the woods"; "the detectives hounded the suspect until they found him"	Animals
a foreign purchaser who buys goods outright for resale	Business, economics, and finance
undergo mutation; "cells mutate"	Biology
a criminal or vicious act	Law and crime
cause to collide; "The physicists collided the particles"	Physics and astronomy
print slanderous statements against; "The newspaper was accused of libeling him"	Law and crime
a program of medical and emotional care for the terminally ill	Health and medicine
of vessels whose keel is not far below the waterline; "a shallow-draft river boat"	Warfare and defense
disappoint, prove undependable to; abandon, forsake; "His sense of smell failed him this time"; "His strength finally failed him"; "His children failed him in the crisis"	Philosophy and psychology
an official who performs the duties of an office temporarily; "he acted as a caretaker until a new president could be elected"	Law and crime
a town in southern New Mexico on the Rio Grande	Geography and places
having a lining or a liner; often used in combination; "a lined skirt"; "a silk-lined jacket"	Textile and clothing
controlling influence	Philosophy and psychology
puffins	Animals
the magnitude of something in a particular direction (especially length or width or height)	Mathematics
attach or become attached to a stem word; "grammatical morphemes affix to the stem"	Language and linguistics
appear to begin an activity; "He made to speak but said nothing in the end"; "She made as if to say hello to us"	Philosophy and psychology
move into a certain direction; "the car pulls to the right"	Transport and travel
an allotrope of iron that is stable between 1403 degrees centigrade and the melting point (= 1532 degrees)	Chemistry and mineralogy
coextensive with the family Entomophthoraceae	Biology
an overcrowded residential area	Geography and places
baseball as distinguished from softball	Sport and recreation
the commercial activity of buying and bringing in goods from a foreign country	Education
used of the second year in United States high school or college; "the sophomore class"; "his sophomore year"	Education
100 tanga equal 1 Tajikistani ruble	Numismatics and currencies
disturbing the public peace; loud and rough; "a raucous party"; "rowdy teenagers"	Philosophy and psychology
family of monocotyledonous plants of the subclass Liliidae; mostly herbs usually with petaloid sepals and petals and compound pistils	Biology
data processing by a computer	Computing
a branch of the Tai languages	Language and linguistics
made less hopeful or enthusiastic; "desperate demoralized people looking for work"; "felt discouraged by the magnitude of the problem"; "the disheartened instructor tried vainly to arouse their interest"	Philosophy and psychology
a vein that accompanies the ascending cervical artery and opens into the vertebral vein	Health and medicine
(of glass) lacking a frosted coating; "unfrosted light bulbs"	Textile and clothing
of or relating to an archegonium	Biology
pick or gather berries; "We went berrying in the summer"	Biology
unbearable physical pain	Health and medicine
a genus of Scolopacidae	Animals
purplish-red table grape	Food and drink
stimulation that calls up (draws forth) a particular class of behaviors; "the elicitation of his testimony was not easy"	Philosophy and psychology
make amends for; "expiate one's sins"	Religion, mysticism and mythology
without deliberate intent; "my heart with unwilled love grew warm"- George Macdonald	Philosophy and psychology
used primarily as eating apples	Food and drink
adherent of Trinitarianism	Religion, mysticism and mythology
spoiled and covered with eggs and larvae of flies; "flyblown meat"; "a sack of maggoty apricots"	Animals
tattlers	Animals
enroll into service compulsorily; "The men were conscripted"	Warfare and defense
a complete number or quantity; "a full complement"	Mathematics
the season when baseball is played	Sport and recreation
an official who can invalidate or nullify; "my bank check was voided and I wanted to know who the invalidator was"	Law and crime
very small; "a minuscule kitchen"; "a minuscule amount of rain fell"	Mathematics
containing a closed ring of atoms of which at least one is not a carbon atom	Chemistry and mineralogy
withdrawing into the background; making yourself inconspicuous	Warfare and defense
a reapportioning of something	Politics and government
copperheads	Animals
a philosopher who subscribes to nativism	Philosophy and psychology
characteristic of pirates; "piratical attackers"	Warfare and defense
a basidiomycete with gills	Biology
having or relating to spikes; "spicate inflorescence"	Biology
a game in which a pitcher allows the opposing team only 3 hits	Sport and recreation
inflammation of the larynx and pharynx	Health and medicine
an official who remains in office after his term	Law and crime
the act of dyeing or tinting one's hair	Textile and clothing
the ordinal number of forty-five in counting order	Mathematics
type genus of the Lorisidae	Animals
change one's mind and assume the opposite viewpoint	Philosophy and psychology
make (textiles) by knitting; "knit a scarf"	Textile and clothing
the cost of borrowing something	Business, economics, and finance
(used especially of skin) marked by lines or seams; "their lined faces were immeasurably sad"; "a seamed face"	Health and medicine
an oxide of copper	Chemistry and mineralogy
showing hovering attentiveness; "solicitous about her health"; "made solicitous inquiries about our family"	Philosophy and psychology
a feeling of calm; an absence of agitation or excitement	Philosophy and psychology
cephalopods having eight short tentacles plus two long ones	Animals
consecrate anew, as after a desecration	Religion, mysticism and mythology
analysis into clear-cut components	Mathematics
suffering from or suggesting a liver disorder or gastric distress	Health and medicine
a town in southern Texas on the Rio Grande	Geography and places
a coarse twilled cotton fabric frequently used for uniforms	Textile and clothing
for or concerned with one specific purpose; "a coordinated policy instead of ad hoc decisions"	Philosophy and psychology
speaking or behaving in an artificial way to make an impression	Philosophy and psychology
the quality of lacking physical depth; "take into account the shallowness at that end of the pool before you dive"	Warfare and defense
of or relating to progesterone (or to a drug with effects like those of progesterone)	Health and medicine
the quantity that was caught; "the catch was only 10 fish"	Mathematics
a man who is divorced from (or separated from) his wife	Animals
the bivalent group -HNNH- derived from hydrazine	Chemistry and mineralogy
of verbs not having standard (or regular) inflection; "`sing' is a strong verb"	Language and linguistics
having temperamental and changeable moods	Philosophy and psychology
the cardinal number that is the sum of seventy and eight	Mathematics
gate where passengers embark	Transport and travel
etch in aquatint	Art, architecture, and archaeology
in a disrespectful manner; "he treats his parents rather disrespectfully"	Philosophy and psychology
of or containing mercury	Chemistry and mineralogy
a round of applause to signify approval; "give the little lady a great big hand"	Music
taken unawares or suddenly and feeling wonder or astonishment; "surprised by her student's ingenuity"; "surprised that he remembered my name"; "a surprised expression"	Philosophy and psychology
shape or form to required dimensions	Mathematics
related by an isometry	Mathematics
determined by earth's magnetic fields; "magnetic north"; "the needle of a magnetic compass points to the magnetic north pole"	Physics and astronomy
of or relating to ascocarps	Biology
with rough motion as over a rough surface; "ride rough"	Physics and astronomy
have little or no respect for; hold in contempt	Philosophy and psychology
pass away rapidly; "Time flies like an arrow"; "Time fleeing beneath him"	Physics and astronomy
of or relating to reptiles of the subclass Archosauria	Animals
a highway	Transport and travel
written or belonging to a cursive form of ancient Egyptian writing; "hieratic Egyptian script"	Language and linguistics
extremely modest or shy; "cheerfully bearing reproaches but shamefaced at praise"- H.O.Taylor	Philosophy and psychology
harsh or corrosive in tone; "an acerbic tone piercing otherwise flowery prose"; "a barrage of acid comments"; "her acrid remarks make her many enemies"; "bitter words"; "blistering criticism"; "caustic jokes about political assassination, talk-show hosts and medical ethics"; "a sulfurous denunciation"; "a vitriolic critique"	Philosophy and psychology
wild basil	Biology
take in nourishment	Farming
three performers or singers who perform together	Music
take illegally; of intellectual property; "This writer plundered from famous authors"	Law and crime
filled with satisfaction; "a satisfied customer"	Philosophy and psychology
in a harsh or unkind manner; "`That's enough!,' he cut in harshly"	Philosophy and psychology
line or stuff with soft material; "pad a bra"	Textile and clothing
creating nets	Textile and clothing
take a court case to a higher court for review; "He was found guilty but appealed immediately"	Law and crime
United States astronomer who studied sunspots and nebulae (1818-1889)	Physics and astronomy
a coach of basketball players	Sport and recreation
to agree or express agreement; "The Maestro assented to the request for an encore"	Law and crime
a fern of the genus Schaffneria	Biology
the power to entice or attract through personal charm	Philosophy and psychology
a compound leaf having five leaflets	Biology
in a questionable and dubious manner; "these were estates his father questionably acquired"	Philosophy and psychology
pass from physical life and lose all bodily attributes and functions necessary to sustain life; "She died from cancer"; "The children perished in the fire"; "The patient went peacefully"; "The old guy kicked the bucket at the age of 102"	Health and medicine
characterized by or capable of producing music; "a musical evening"; "musical instruments"	Music
female jungle fowl	Animals
having the surface burned quickly with intense heat; "the seared meat is then covered with hot liquid for braising"	Physics and astronomy
thorny Eurasian shrubs	Biology
call to mind; "this remark evoked sadness"	Philosophy and psychology
a catcher's mask with a strong wire face	Textile and clothing
with moderation; in a moderate manner; "he drinks moderately"	Philosophy and psychology
an unexploded bomblet; "unexploded bomblets known in Laos as `bombies' caused farmers to fear cultivating their fields"	Warfare and defense
female leopard	Animals
in the brain; "bleeding cerebrally"	Health and medicine
from a boned strip of cured loin	Food and drink
tend as a shepherd, as of sheep or goats	Farming
arousing desire or expectation for something unattainable or mockingly out of reach; "a tantalizing taste of success"	Philosophy and psychology
in a rational manner; "we must act rationally"	Philosophy and psychology
spiderworts	Biology
determined or actuated by emotion rather than reason; "it was an emotional judgment"	Philosophy and psychology
stuffing for turkey	Food and drink
thrashers	Animals
in the manner of one who is surprised	Philosophy and psychology
stocky breed of pony with a fawn-colored nose	Animals
lacking compassion or feeling for others; "nor silver-shedding tears could penetrate her uncompassionate sire"- Shakespeare	Philosophy and psychology
follower of Lutheranism	Religion, mysticism and mythology
keep in mind	Philosophy and psychology
an artery that is a branch of the superior mesenteric artery that supplies the jejunum	Health and medicine
nuclear reactor using water as a coolant	Chemistry and mineralogy
the act of publishing again	Literature and theatre
cause to go into a solution; "The recipe says that we should dissolve a cup of sugar in two cups of water"	Chemistry and mineralogy
a philosopher who believes that universals are real and exist independently of anyone thinking of them	Philosophy and psychology
tending to produce euphoria	Health and medicine
greatly annoyed; out of patience; "had an exasperated look on his face"; "felt exasperated beyond endurance"	Philosophy and psychology
in a delightful manner; "the farm house, though in itself a small one, is delightfully situated"	Philosophy and psychology
a pinnate leaf having two pairs of leaflets	Biology
characterized by or constituting an obsession; "the obsessional character of his response"; "obsessive gambling"	Philosophy and psychology
of or relating to philately or of interest to philatelists	Philosophy and psychology
(superlative of `near' or `close') within the shortest distance; "that was the time he came nearest to death"	Mathematics
the basic unit of money in Singapore	Numismatics and currencies
consider (an instance of something) as part of a general rule or principle	Philosophy and psychology
(of a leaf shape) featherlike; having leaflets on each side of a common axis	Biology
 (of a musical note) being neither raised nor lowered by one chromatic semitone; "a natural scale"; "B natural"	Music
power to dominate or defeat; "mastery of the seas"	Animals
circular or nearly circular leaf	Biology
a division of nonflowering plants characterized by rhizoids rather than true roots and having little or no organized vascular tissue and showing alternation of generations between gamete-bearing forms and spore-bearing forms; comprises true mosses (Bryopsida) and liverworts (Hepaticopsida) and hornworts (Anthoceropsida)	Biology
lookout consisting of a dome-shaped observatory	Art, architecture, and archaeology
marmosets	Animals
the words that are spoken in the activity of verbalization	Language and linguistics
having a concave shape like an urn	Mathematics
a game in which a pitcher allows the opposing team 4 hits	Sport and recreation
